rank,image_id,image_path,CHAIRs,CHAIRi,hallucinated_pairs,hallucination_idxs,caption
20,123053,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000123053.jpg,1,0.5,parking meter->parking meter|people->person,32|47,"The image features a red fire hydrant positioned near the sidewalk of a busy city street. The hydrant is situated on the side of a building, and there is a parking meter right next to it.   In the surrounding area, there are some people walking by on the sidewalk, giving"
21,473124,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000473124.jpg,1,0.5,cup->cup|bowl->bowl,19|35,"The image features a cranberry, orange, and yellow sauce being poured into a ramekin or a measuring cup. A sauce strainer or colander is also present in the scene, with a bowl directly below it. There's also a basket and an orange to the side,"
22,488788,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000488788.jpg,1,0.5,driver->person,15,"The image features a street sign displayed on a pole near a roadway, welcoming drivers to Eastcote. The street sign is green and situated close to trees. A colorful house can also be seen close to the road, while a few cars are parked or moving along the street.   There"
23,404984,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000404984.jpg,1,0.5,potted plant->potted plant,46,"The image portrays a wide-open living room space, illuminated by bright sunlight. The living room features hardwood flooring and is decorated with a television placed on the left wall, hanging above the room. Other decorative elements in the living room include a potted plant, a v"
24,45229,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000045229.jpg,1,0.5,toaster->toaster,50,"The image features a residential kitchen with a focus on a kitchen window. Vines are climbing across the window, and a muffin and a potted plant can be seen sitting next to it. Below the window, a countertop with various appliances is visible, including a toaster, coffee pot"
25,332480,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000332480.jpg,1,0.5,oven->oven,19,"The image depicts a well-lit white kitchen with large windows providing ample sunlight. White appliances, including an oven and a microwave, are neatly placed in the wooden-framed space. An automatic dishwasher is situated on one side of the kitchen."
26,567787,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000567787.jpg,1,0.5,container->bowl,40,"The image depicts an empty bathroom with brown wood walls and a wooden floor. A tall white toilet is positioned next to the wall, and two white wash basins are situated close to each other. To various containers are placed in the bathroom, including multiple vases and a small p"
27,537982,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000537982.jpg,1,0.5,broccoli->broccoli,37,"The image showcases a large collection of different types of fresh vegetables, many of which are leafy greens. Among these vegetables, there are several carrots arranged neatly, alongside greens such as lettuce and broccoli. A few batons of sweet potatoes are also present in the"
28,119861,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000119861.jpg,1,0.42857142857142855,passenger->person|people->person|person->person,7|23|49,"The image captures a dramatic scene of passengers in route on a train. The main focus is on the motion blur of people in the train, creating a sense of the train's speed and the frozen-in-motion effect. There is one clear image of a single person on the train,"
29,110783,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000110783.jpg,1,0.4,bowl->bowl|sink->sink,41|48,"The image depicts a white toilet in the corner of a bathroom stall. As we look over the lid of the toilet, we can see that it is used and quite dirty, with brown streaks on the porcelain bowl. Around the toilet, the sink"
30,12666,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000012666.jpg,1,0.4,pigeon->bird,25|41,"The image depicts a colorful, yellow city truck cab driving down a busy road. The truck appears to be involved in transporting excited pigeons, as indicated by the colorful words painted on its side, which read ""Pigeon Travail"" in a unique manner."
31,535185,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000535185.jpg,1,0.4,desk->dining table,9|46,"The image showcases a laptop computer placed on a desk, facing a small screen. The computer screen, which is the main focus of the image, occupies a large portion of the frame. The laptop is on the right side of the desk, casting a strong shadow against the surface.  In the"
32,538255,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000538255.jpg,1,0.4,student->person,29|51,"The scene displays a yellow school bus driving by an elementary school. The bus is parked next to a road, likely observing or stopped for picking up students. The school bus has a ""school"" written on its rear windows, further emphasizing its role in transporting students to and from school."
33,305876,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000305876.jpg,1,0.4,bus->bus,6|20,"The scene depicts a dirty transit bus with several seats or and a bench on the floor next to the bus. One of the wooden benches is particularly noticeable and almost covered with garbage. At the back end, a pile of trash can be found off to the side. Additionally, there"
34,510955,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000510955.jpg,1,0.4,pizza->pizza,13|32,"The image features a lively woman in the kitchen, celebrating with a pizza in her hand. She is wearing oven mitts, likely because they are a big fan of pizza. It appears that the woman is having a fun time in the kitchen.   The kitchen is well-equ"
35,56405,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000056405.jpg,1,0.4,chair->chair,9|42,"The image depicts a young girl sitting in a chair, playing with a brown teddy bear. The girl appears to be focused on something in her hand while enjoying her time with the plush toy.   There are two other chairs in the scene – one located to the left of the"
36,410023,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000410023.jpg,1,0.375,table->dining table|chair->chair,10|35|43,"The scene features three teddy bears sitting around a dining table. Two of the teddy bears are visibly placed in the center of the scene, with one of the teddy bears on a chair and the other teddy bear on the table. The third teddy bear is located close to the"
37,406211,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000406211.jpg,1,0.3333333333333333,table->dining table|remote->remote,21|45,"The scene features a cat sitting on a small cushion or ottoman, which is placed in front of a coffee table. The cat is looking at a television screen that is displayed on the wall in the background. The television has a remote control placed next to it.  In the surroundings, there"
38,235404,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000235404.jpg,1,0.3333333333333333,chair->chair,42,"The image captures a simple bathroom setting that includes a white sink, a mirror, and a cabinet. To the right of the sink, a white blow dryer is leaning against the wall near a fan on a small chair. This fan is positioned close to the wall for convenience during daily use. The"
39,337439,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000337439.jpg,1,0.3333333333333333,clock->clock,4,"The image showcases a clock sculpture situated within a round display at an airport. The striking feature of this sculpture is that it resembles a giant telephone hand, similar to an old cell phone. The ""finger"" or thumb of the hand appears to probe the viewer from all directions"
40,199940,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000199940.jpg,1,0.3333333333333333,vase->vase,44,"The image features a dark-haired cat surrounded by a room. It is sitting near a wall and appears to be staring intently. On a small white counter in the scene, a bottle of wine is present, as well as a vase with a flower inside, adding a touch of elegance to"
41,239975,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000239975.jpg,1,0.3333333333333333,sink->sink,45,"The image features a spacious and cozy living room filled with various plush furniture and a well-lit ambiance. The living space has two couches positioned towards the back of the room, creating a comfortable sitting area. One couch is situated near a sink, while the other one is"
42,507081,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000507081.jpg,1,0.3333333333333333,bottle->bottle,47,"The image portrays a small room that appears to combine a kitchen with a living area. A view of an outdoor dining table can be seen through a window, while the cabinetry and a stainless steel stove cooker fill the space.   There is a bottle of wine located"
43,236865,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000236865.jpg,1,0.3333333333333333,teddy bear->teddy bear,48,"A young girl is standing outside of her house in an open sidewalk area, twirling a red and blue frisbee between her fingers. She is wearing a frilly dress and still has her swim fins on her feet. Near each other, there are two teddy bears also placed outside"
44,355234,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000355234.jpg,1,0.3333333333333333,horse->horse,14|31|57,"The image depicts a group of farm animals, including a dog, a horse, and a sheep, running around on a grassy field. The dog and the horse seem to be focused on the game, while the sheep appears to be playing too. The dog chases after the sheep as the horse looks on"
45,538132,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000538132.jpg,1,0.3333333333333333,orange->orange,14|43,"The image features a small black dog standing on a couch, sniffing an orange hat placed next to it. The dog is curious about the hat and seems to be examining it closely.   In addition to the dog and the orange hat, there are several other colorful knitted or woven"
46,410221,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000410221.jpg,1,0.3333333333333333,passenger->person,5,"The image shows a large passenger airplane flying in the clear blue sky through the wide spot of the sky. The airplane is at an altitude higher than the power lines below. It appears to be in the process of ascending into the airway. The sky is so blue, it makes it a perfect day"
47,265003,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000265003.jpg,1,0.3333333333333333,ball->sports ball,53,"The image features a large brown dog standing on the grass with a cap placed on its head, looking slightly to the left. It appears to be enjoying the outdoor setting. The dog stands out in the frame, taking up a significant portion of the image.  A tennis ball can be seen placed next to"
48,138768,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000138768.jpg,1,0.3333333333333333,driver->person,43,"The image captures a busy street intersection at nighttime, with several traffic lights paired with neon lights, providing a bright ambiance. There are multiple traffic lights located on poles at different heights visible at the intersection, enhancing visibility for drivers. The hanging neon lights add to the l"
49,96689,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000096689.jpg,1,0.3333333333333333,people->person,22|37,"The image captures a large blue and green city bus driving down a road near a tall building. There are several people around the bus, likely waiting for the bus or walking nearby. Five people are visible on the left side of the bus, and six more are scattered throughout the scene on the right side."
50,526904,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000526904.jpg,1,0.3333333333333333,bench->bench,15|27,"The scene depicts a repair shop with a person sitting down close to a red bench, attentively looking at an open laptop computer placed on the bench. Another person is pleading with the technician, as the technician seems to be puzzled by the difficulty of fixing the computer."
51,260808,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000260808.jpg,1,0.3333333333333333,child->person,35,"The image features a whimsical, large chocolate cake on display, skillfully shaped like a tree with a large dessert at the center of the tree. The centerpiece of the tree resembles a child's tea time setup. Around this large cake, there are various"
52,482134,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000482134.jpg,1,0.3333333333333333,person->person,51,"The image features a beautiful arrangement of yellow tulips in a clear glass vase placed on a white counter. The vase is filled with water, shaped to capture the shape of the flowers. The tulips are flourishing, their bright colors stand out against the counter.  A person can"
53,83246,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000083246.jpg,1,0.3333333333333333,bicycle->bicycle,11,"The image depicts a sign with a walking person, a bicycle, and other signs derived from a mirror. The large mirror in the foreground creates a reflection that showcases a variety of nearby topics. The reflection consists of multiple signs with directions and instructions, as well as the presence of people and b"
54,180366,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000180366.jpg,1,0.3333333333333333,cup->cup,35,"The image features a man standing outside dressed in polo-fleece, holding half of a hot dog with mustard on it. He appears to be a beverage distributor, as there is a soda cup near the top of the image, likely in front of him as he serves the drink."
55,286450,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000286450.jpg,1,0.2857142857142857,truck->truck|moped->motorcycle,25|27,"The image depicts a railroad train going down the tracks in a rural town. Several vehicles are seen on the large train, including trucks, mopeds, and cars. There is a unique train car with a bed-like roof that sits on top of the other vehicles. Additionally, there"
56,319275,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000319275.jpg,1,0.25,car->car,39,"The image displays a person dressed in a red winter coat skiing in heavy snow surrounded by city buildings. The person is skiing in a residential area with a slightly slanting snow-covered slope. There are many parked cars positioned alongside the street, which creates the urban setting.  The"
57,555267,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000555267.jpg,1,0.25,car->car,39|54,"The image features a large white and red train parked at a train station. The train occupies the majority of the scene with its vibrant red and white color scheme. It appears to be an empty train car stopped at the platform for passengers.  In addition to the train, some cars can be seen"
58,223626,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000223626.jpg,1,0.25,book->book,45,"A black and white portrait shows a kitten sitting in a corner using the tile wall as its backdrop. The kitten appears to be quite relaxed and is posing for the picture. On one side of the room, there is a small book, likely a guidance, next to the wall. The cat is"
59,531703,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000531703.jpg,1,0.25,carrot->carrot,29,"A delicious plate of Chinese food is presented on a dining table. The plate consists of noodles and various vegetables, with a prominent combination of broccoli and carrots as the dominant ingredients. There are several pieces of broccoli spread throughout the plate, both at the top,"
60,66243,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000066243.jpg,1,0.25,backpack->backpack,49,"In the image, a man wearing a jacket and a hat is standing in the snow, holding a snowboard under his arm, preparing to begin his or her snowboarding session. The scene depicts a large snowboard leaning against him, and he also carries a backpack and a"
61,524627,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000524627.jpg,1,0.25,cake->cake,17,"The image features a group of six people gathered around a dining table, preparing to eat cake and other desserts. The center of attention is a woman wearing a see-through white shirt, which makes her look cartoonish. She is feeding herself food with one hand while pointing with"
62,514089,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000514089.jpg,1,0.25,bed->bed,11,"In the image, a little girl is sitting on her bed brushing her teeth. She is biting the toothbrush with determination as she diligently cleans her teeth. The girl appears to be focused on her dental hygiene routine, making sure to keep her teeth and gums well"
63,437209,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000437209.jpg,1,0.25,pancake->cake,34,"The scene shows four large, old leather suitcases piled one on top of the other on a table. Various suitcases are stacked on top, creating a likeness of a stack of pancakes or forming a stacktease-like image. The different sizes and structures of the suitcases"
64,185622,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000185622.jpg,1,0.25,orange->orange,37,"The image features a commercial airplane belonging to Japan Airlines, captured from the airport runway as it prepares for takeoff. The main central portion of the plane has a blue tip, along with an orange under belly. The airplane is soaring through the sky as it has just taken off from the"
65,581913,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000581913.jpg,1,0.25,table->dining table,25,The image features a delicious assortment of doughnuts decorated in vibrant colors. They are placed in an appealing arrangement on top of a dining table. There are multiple doughnuts on display with various toppings and designs.  The doughnuts are sitting on
66,532747,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000532747.jpg,1,0.25,vase->vase,24,"The image showcases a room with a plethora of furniture, such as a beige and brown couch, multiple purple orchids in a vase, and a television. In addition to these items, there are two bags placed near the wall—one on the floor closer to the couch"
67,479384,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000479384.jpg,1,0.25,table->dining table,39,The image captures a black and grey striped cat standing on a wood floor in a sunlit room. The cat appears to be walking and forms a prominent figure in the frame. The room features a dining table visible in the background along with a chair near the right side of the scene.   On
68,110211,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000110211.jpg,1,0.25,ostrich->bird,45,"The image depicts a remarkable and peaceful scene of animals like zebras and rhinos in a grassy field. Two zebras are the main attraction, standing in the grass close together, looking attentive. They are accompanied by a baby zebra and two ostriches,"
69,143516,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000143516.jpg,1,0.25,bowl->bowl,16,"The image features a table set for a delectable meal with variety. A large black bowl filled with various hotpot dishes occupies the center of the table, creating a most inviting dining scene.   Around the main dish, numerous cups can be seen, indicating a"
70,158770,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000158770.jpg,1,0.25,seat->chair,13,"The image displays a dining table covered with eight white plush teddy bears seated side by side. The bears are wearing what appears to be crowns, adding a regal and cheerful touch to the scene. They are arranged in a neat line, creating an attention-grabbing and"
71,1903,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000001903.jpg,1,0.25,cup->cup,52,"The image displays a cooked hot dog sitting in a paper container or basket, which likely holds its condiments and additional items. The hot dog is accompanied by a dill pickle right beside it, enhancing the visual appeal and taste associated with the dish. A small empty soda cup can be seen"
72,474788,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000474788.jpg,1,0.25,seagull->bird,26,"The image features a beautiful old yellow-and-red propeller plane flying high in a clear blue sky. The vintage-style airplane looks like it is close to seagulls and clouds. The plane occupies the entire field of view of the image, not appearing diminished in the clear sky"
73,416739,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000416739.jpg,1,0.25,book->book,44,"The image features a white bed with a wooden frame placed in the center of the room. The bed's appearance is somewhat old, and its sheets are mainly white. The room seems to be somewhat cluttered, with a few books laying around at various positions on the bed.  In addition to the"
74,84064,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000084064.jpg,1,0.25,sink->sink,18,"The image depicts a single, white, ceramic toilet in a room. The toilet, a sink, and a hand dryer are all placed together, possibly in a public restroom or a more upscale facility. The mounted hand dryer near the toilet is located"
75,248341,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000248341.jpg,1,0.25,table->dining table,9,"The image features a white plate sitting on a table, overflowing with a delicious assortment of cakes and pastries. The plate consists of four pieces of cake, including one that stands out with a Red Velvet frosting. The other three cakes are positioned around the plate and have"
76,512112,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000512112.jpg,1,0.25,potted plant->potted plant,42,"The image shows a little girl sitting on a bed, surrounded by several stuffed animals. The teddy bears are arranged on both sides of her, indicating she has a preference for these toys. There is a collection of potted plants scattered around the room, which adds a decorative touch."
77,316694,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000316694.jpg,1,0.25,parking meter->parking meter,12,"The image shows a dog standing on the sidewalk next to a parking meter. The dog appears to be curiously looking at a near-by bicycle that is occupying a large portion of the scene from the left to the right side. On the right side of the frame, there's a par"
78,296353,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000296353.jpg,1,0.25,locomotive->train,24,"The image shows a large white city bus with many window areas, parked at a stop on the street. There are两个 quarter-size locomotives in this scene, with four tires visible on the bus, two of which are closer to the front and the other two closer to the back. Another bus is"
79,44421,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000044421.jpg,1,0.2,cellphone->cell phone,28,"In the image, an attractive couple is standing together. The man is wearing a suit, a tie, and glasses, and is holding a cellphone, possibly showing it to the woman. The woman, dressed in black, is posing for the photo.   The couple occupies a large"
80,93763,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000093763.jpg,1,0.2,chair->chair,36,"The image shows a group of men and women having fun in an office, enjoying their break time. A total of seven people are visible, some standing and one person sitting on a chair. A Wii remote can be seen in a couple of the men's hands, suggesting they might be playing a video game"
81,33672,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000033672.jpg,1,0.2,dog->dog,42,"The image features a woman sitting comfortably on the back of a white and brown horse next to a wooden fence. The horse and rider appear to be enjoying their time together in a calm environment. A small, odd-looking dog can also be spotted walking nearby, not taking part in the horse-"
82,213421,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000213421.jpg,1,0.2,car->car,15,"In the image, two young ladies accompanied by other children are sitting in a car. A pink umbrella can be seen, likely providing shade from the sun or protection from rain. Surrounding the setting, a coat is also present, which might belong to one of the ladies.  The two"
83,90839,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000090839.jpg,1,0.2,table->dining table,44,"The image features a cluttered living room with multiple pieces of furniture, such as a couch, television, bookcase, and chairs. A big flat screen TV occupies one corner of the room, while a silver dish sits on a table nearby. The room is situated next to a window"
84,372233,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000372233.jpg,1,0.2,hot dog->hot dog,15,"The image shows a woman standing in a buffet line on a table holding a hot dog or a sausage. In the background, there is another person, possibly preparing or serving food. The woman wearing the sweater holds the food either in her right hand or slightly above her left hand.  Vari"
85,407532,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000407532.jpg,1,0.2,book->book,23,"The image features a man sitting on a wooden bench in a grassy field underneath a tree. He is leafing through a book while enjoying the outdoor scenery. The bench is located near a metal fence, with green grass visible at its base.  The man appears to be"
86,92660,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000092660.jpg,1,0.2,table->dining table,25,"The image features a close-up view of a partially baked pizza with fresh broccoli toppings on top of a tin, presented on a dining table. The pizza is divided into several sections, with distinct broccoli plants and other items, which include various bits of food and utensils"
87,374430,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000374430.jpg,1,0.2,spoon->spoon,39,"The image features a chef-looking man standing in a large kitchen, cooking dishes and preparing a meal. He is dishing food from a large bowl onto a plate near a dining table. There are a few spoons placed on the table, indicating that they are being used during the me"
88,521692,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000521692.jpg,1,0.2,backpack->backpack,10,"The image shows a man wearing a jacket with a backpack on an open snowy slope, ready to ski downhill. The skier appears alert and eager, using ski poles to maintain his balance. He appears to be a skilled or experienced individual preparing for a smooth descent.  There"
89,279024,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000279024.jpg,1,0.2,bowl->bowl,6,"The image features a discarded toilet bowl with several recycling cans stacked on it, placed on a curb. A city street is visible in the background with a crowd of people walking nearby. There are three birds in the scene, one positioned to the left of the toilet"
90,257036,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000257036.jpg,1,0.2,book->book,48,"The image shows a black and grey tabby cat sitting on top of a bicycle wheel near a window. It appears to be a room with a chair placed in the left-middle section of the image, likely separated by a wall.   There is also a book visible on top of the objects in"
91,392108,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000392108.jpg,1,0.2,cat->cat,21,"The image features a woman wearing a bikini, holding her surfboard and entering the ocean. A black and white cat is floating on the water, nearby the woman. They are both enjoying the seaside together.  The scene also contains a dog, possibly off the left side of the"
92,348720,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000348720.jpg,1,0.2,bird->bird,36,"The image shows an adorable scene of two cats standing on a toilet in the bathroom, watching curiously outside the window. The two cats appear to be looking into the window, possibly observing birds or other animals in the vicinity. The cats are on either side of the open"
93,131379,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000131379.jpg,1,0.2,fork->fork,24,"In the image, there is a close-up view of a cake sitting on a surface. The cake is cut into with a fork sticking out from its left side. The cake appears to be baked and has a red cupcake-like texture. The piece of cake seems to be"
